Station,Site_Name,Agency_Name,Lat,Lon,SRadius,MERRALat,MERRALon,IDXi,IDXj,PS,QV10m,Q500,Q850,T10m,T500,T850,WIND,BCSMASS,DUSMASS25,OCSMASS,SO2SMASS,SO4SMASS,SSSMASS25,NISMASS25,TOTEXTTAU,UTC_DATE,UTC_TIME
466ML1010001,Bamako,U.S. Department of State Mali - Bamako,12.632524,-8.036911,18.1,12.75,-8.125,412,551,96680.72,13.08014,1.3425,0.009139607,303.968,266.651,295.968,2.863,1.01741,34.46714,7.64441,0.39746,0.78241,0.34294,0.00034,0.277,20250410,0130
14,Bandar_Seri_Begawan,,4.9030522,114.939821,12.7,5.0,115.0,381,945,101046.19,17.75412,1.77563,0.013699364,300.672,268.976,292.672,1.834,0.24833,0.61234,2.09412,1.94426,1.35502,1.3444,0.00067,0.072,20250410,0130
TPCD0052T,Bangkok,,13.727622,100.486568,13.3,13.75,100.625,416,899,101006.266,18.57335,4.55598,0.011948247,300.9,268.605,292.9,3.056,1.73401,2.0453,19.6042,4.15761,4.51036,2.21816,0.25455,0.603,20250410,0130
16,Bangui,,4.3946735,18.5581899,17.8,4.5,18.438,379,636,95636.98,16.49572,3.61575,0.012768287,298.033,269.445,290.033,1.324,0.40205,25.73851,4.9695,0.24469,0.48556,0.03948,0.00026,0.186,20250410,0130
070BH2010001,Banja_Luka,U.S. Department of State Bosnia Herzegovina - Banja Luka,44.7725,17.185556,2.5,44.75,17.188,540,632,100088.06,5.66638,0.24363,0.0031910413,281.578,246.982,273.578,2.104,0.59139,0.59756,1.83192,8.22908,2.04648,0.19125,1.15045,0.256,20250410,0130
18,Banjul,,13.454375,-16.5753186,5.3,13.5,-16.562,415,524,100892.27,12.91704,0.90202,0.0059376014,295.76,266.23,287.76,3.984,0.2873,3.27671,1.26006,1.19751,1.05977,5.02095,0.00758,0.404,20250410,0130
19,Barcelona,,41.3873974,2.168568,12.6,41.5,2.188,527,584,97024.26,8.77904,1.51506,0.0059790155,285.419,254.774,277.419,0.954,0.70767,3.30396,1.88786,4.54827,2.88433,0.96629,1.5598,0.27,20250410,0130
156BJ1010001,Beijing,U.S. Department of State China - Beijing,39.953352,116.466258,17.0,40.0,116.562,521,950,99197.234,4.64109,0.02434,0.0024102721,288.687,250.72,280.687,1.379,12.10514,6.25393,27.26866,85.19117,15.18026,0.27801,4.1204,0.326,20250410,0130
20,Beirut,,33.8937913,35.5017767,16.4,34.0,35.625,497,691,86973.59,5.87184,0.05384,0.00554609,277.833,256.077,269.833,5.192,0.08588,1.8137,0.32736,1.57899,2.06143,2.54208,0.12315,0.115,20250410,0130
21,Belfast,,54.597285,-5.93012,10.8,54.5,-5.938,579,558,103100.25,5.43254,0.67671,0.0012235044,282.432,256.304,274.432,1.795,0.63389,2.99499,1.78755,3.82765,2.23701,1.16234,0.25339,0.118,20250410,0130
22,Belgrade,,44.8125449,20.4612299,13.6,44.75,20.312,540,642,100700.555,3.77013,0.34369,0.002621998,279.417,246.75,271.417,2.919,0.77649,1.34038,2.73089,15.05014,2.44806,0.0794,0.65816,0.138,20250410,0130
084BZ1010001,Belmopan,U.S. Department of State Belize - Belmopan,17.256124,-88.773876,1.0,17.25,-88.75,430,293,101649.6,12.36474,0.22836,0.009236314,297.057,268.565,289.057,1.156,0.25609,3.07793,3.09234,0.51349,2.22487,6.16509,0.02054,0.245,20250410,0130
24,Berlin,,52.5200066,13.404954,3.1,52.5,13.438,571,620,101440.91,5.18377,1.06337,0.00229252,278.002,251.976,270.002,2.323,0.44892,3.00804,2.09735,0.64012,3.69461,1.18879,2.29631,0.167,20250410,0130
25,Bern,,46.9479739,7.4474468,7.0,47.0,7.5,549,601,95381.56,4.72508,0.31853,0.00372528,279.32,252.884,271.32,1.881,0.9667,2.17755,2.41944,5.36736,1.69087,0.4054,2.20809,0.123,20250410,0130
417BI1010001,Bishkek,U.S. Department of State Kyrgyzstan - Bishkek,42.827626,74.58384,16.9,42.75,74.688,532,816,90936.625,4.73566,0.06345,0.0043571712,284.959,256.62,276.959,2.429,0.1532,9.97367,0.70962,3.89611,1.37743,0.0177,0.00896,0.202,20250410,0130
BG1010001,Bogota,U.S. Department of State Colombia - Bogota,4.637735,-74.094856,4.5,4.75,-74.062,380,340,73171.45,11.1917,4.79211,--,284.336,268.988,276.336,0.684,0.15621,1.94038,1.36145,0.9252,0.40714,0.20987,0.15546,0.043,20250410,0130
